Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
BRA,202009,20 – 30,0,0,0,0,1,1
BRA,202009,30 – 40,0,0,0,0,4,4
BRA,202009,60 – 70,0,0,0,0,2,2
BRA,202010,10 – 20,0,0,0,0,3,3
BRA,202010,20 – 30,0,0,0,0,3,3
BRA,202010,30 – 40,0,0,0,0,5,5
BRA,202010,40 – 50,0,0,0,0,2,2
BRA,202010,50 – 60,0,0,0,0,2,2
BRA,202010,60 – 70,0,0,0,0,1,1
BRA,202011,20 – 30,0,0,0,0,2,2
BRA,202011,30 – 40,0,0,0,0,12,12
BRA,202011,40 – 50,0,0,0,0,11,11
BRA,202011,50 – 60,0,0,0,0,6,6
BRA,202011,60 – 70,0,0,0,0,4,4
BRA,202011,>= 80,0,0,0,0,1,1
BRA,202012,10 – 20,0,0,0,0,2,2
BRA,202012,20 – 30,0,0,0,0,26,26
BRA,202012,30 – 40,0,0,0,0,22,22
BRA,202012,40 – 50,0,0,0,0,19,19
BRA,202012,50 – 60,0,0,0,0,23,23
BRA,202012,60 – 70,0,0,0,0,16,16
BRA,202012,70 – 80,0,0,0,0,9,9
BRA,202012,>= 80,0,0,0,0,4,4
BRA,202013,10 – 20,0,0,0,0,1,1
BRA,202013,20 – 30,0,0,0,0,8,8
BRA,202013,30 – 40,0,0,0,0,20,20
BRA,202013,40 – 50,0,0,0,0,23,23
BRA,202013,50 – 60,0,0,0,0,27,27
BRA,202013,60 – 70,0,0,0,0,13,13
BRA,202013,70 – 80,0,0,0,0,8,8
BRA,202013,>= 80,0,0,0,0,3,3
BRA,202014,1 – 5,0,0,0,0,1,1
BRA,202014,10 – 20,0,0,0,0,2,2
BRA,202014,20 – 30,0,0,0,0,14,14
BRA,202014,30 – 40,0,0,0,0,30,30
BRA,202014,40 – 50,0,0,0,0,22,22
BRA,202014,50 – 60,0,0,0,0,22,22
BRA,202014,60 – 70,0,0,0,0,13,13
BRA,202014,70 – 80,0,0,0,0,13,13
BRA,202014,>= 80,0,0,0,0,11,11
BRA,202015,10 – 20,0,0,0,0,2,2
BRA,202015,20 – 30,0,0,0,0,23,23
BRA,202015,30 – 40,0,0,0,0,38,38
BRA,202015,40 – 50,0,0,0,0,32,32
BRA,202015,50 – 60,0,0,0,0,33,33
BRA,202015,60 – 70,0,0,0,0,12,12
BRA,202015,70 – 80,0,0,0,0,8,8
BRA,202015,>= 80,0,0,0,0,8,8
BRA,202016,10 – 20,0,0,0,0,3,3
BRA,202016,20 – 30,0,0,0,0,22,22
BRA,202016,30 – 40,0,0,0,0,54,54
BRA,202016,40 – 50,0,0,0,0,55,55
BRA,202016,50 – 60,0,0,0,0,44,44
BRA,202016,60 – 70,0,0,0,0,22,22
BRA,202016,70 – 80,0,0,0,0,25,25
BRA,202016,>= 80,0,0,0,0,11,11
BRA,202017,1 – 5,0,0,0,0,1,1
BRA,202017,10 – 20,0,0,0,0,3,3
BRA,202017,20 – 30,0,0,0,0,23,23
BRA,202017,30 – 40,0,0,0,0,57,57
BRA,202017,40 – 50,0,0,0,0,51,51
BRA,202017,5 – 10,0,0,0,0,2,2
BRA,202017,50 – 60,0,0,0,0,43,43
BRA,202017,60 – 70,0,0,0,0,34,34
BRA,202017,70 – 80,0,0,0,0,20,20
BRA,202017,>= 80,0,0,0,0,13,13
BRA,202018,1 – 5,0,0,0,0,1,1
BRA,202018,10 – 20,0,0,0,0,1,1
BRA,202018,20 – 30,0,0,0,0,23,23
BRA,202018,30 – 40,0,0,0,0,40,40
BRA,202018,40 – 50,0,0,0,0,33,33
BRA,202018,50 – 60,0,0,0,0,22,22
BRA,202018,60 – 70,0,0,0,0,18,18
BRA,202018,70 – 80,0,0,0,0,12,12
BRA,202018,>= 80,0,0,0,0,13,13
BRA,202019,20 – 30,0,0,0,0,7,7
BRA,202019,30 – 40,0,0,0,0,24,24
BRA,202019,40 – 50,0,0,0,0,20,20
BRA,202019,50 – 60,0,0,0,0,20,20
BRA,202019,60 – 70,0,0,0,0,15,15
BRA,202019,70 – 80,0,0,0,0,8,8
BRA,202019,>= 80,0,0,0,0,6,6
BRA,202020,1 – 5,0,0,0,0,1,1
BRA,202020,10 – 20,0,0,0,0,1,1
BRA,202020,20 – 30,0,0,0,0,15,15
BRA,202020,30 – 40,0,0,0,0,17,17
BRA,202020,40 – 50,0,0,0,0,12,12
BRA,202020,5 – 10,0,0,0,0,1,1
BRA,202020,50 – 60,0,0,0,0,16,16
BRA,202020,60 – 70,0,0,0,0,8,8
BRA,202020,70 – 80,0,0,0,0,8,8
BRA,202020,>= 80,0,0,0,0,4,4
BRA,202021,1 – 5,0,0,0,0,1,1
BRA,202021,10 – 20,0,0,0,0,2,2
BRA,202021,20 – 30,0,0,0,0,8,8
BRA,202021,30 – 40,0,0,0,0,20,20
BRA,202021,40 – 50,0,0,0,0,20,20
BRA,202021,50 – 60,0,0,0,0,5,5
BRA,202021,60 – 70,0,0,0,0,4,4
BRA,202021,70 – 80,0,0,0,0,5,5
BRA,202021,>= 80,0,0,0,0,3,3
BRA,202022,1 – 5,0,0,0,0,2,2
BRA,202022,10 – 20,0,0,0,0,2,2
