Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
PAK,202009,0,0,0,0,4,4
PAK,202010,0,0,0,0,1,1
PAK,202011,0,0,0,0,1,1
PAK,202012,0,0,0,0,1,1
PAK,202013,0,0,0,0,2,2
PAK,202014,0,0,0,0,1,1
PAK,202015,0,0,0,0,1,1
PAK,202019,0,0,0,0,2,2
PAK,202020,0,0,0,0,7,7
PAK,202021,0,0,0,0,4,4
PAK,202023,0,0,0,0,24,24
PAK,202024,0,0,0,0,2,2
PAK,202025,0,0,0,0,6,6
PAK,202027,0,0,0,0,5,5
PAK,202028,0,0,0,0,6,6
PAK,202032,0,0,0,0,1,1
PAK,202033,0,0,0,0,9,9
PAK,202037,0,0,0,0,3,3
PAK,202041,0,0,0,0,8,8
PAK,202042,0,0,0,0,1,1
PAK,202045,0,0,0,0,1,1
PAK,202046,0,0,0,0,2,2
PAK,202047,0,0,0,0,6,6
PAK,202048,0,0,0,0,20,20
PAK,202050,0,0,0,0,17,17
PAK,202051,0,0,0,0,9,9
PAK,202052,1,0,0,0,1,2
PAK,202053,7,0,0,0,5,12
PAK,202101,0,0,0,0,12,12
PAK,202102,0,0,0,0,2,2
PAK,202103,0,0,0,0,1,1
PAK,202104,0,0,0,0,4,4
PAK,202105,0,0,0,0,4,4
PAK,202106,1,0,0,0,10,11
PAK,202107,0,0,0,0,22,22
PAK,202108,0,0,1,0,4,5
PAK,202109,3,0,0,0,2,5
PAK,202110,17,0,0,0,0,17
PAK,202111,15,1,0,0,0,16
PAK,202112,6,0,0,0,0,6
PAK,202113,1,0,0,0,0,1
PAK,202114,79,1,0,0,1,81
PAK,202115,51,2,1,0,3,57
PAK,202116,16,1,0,0,3,20
PAK,202117,28,3,0,0,4,35
PAK,202118,7,0,0,0,0,7
PAK,202119,4,7,0,0,5,16
PAK,202120,7,7,10,0,2,26
PAK,202121,36,12,6,0,9,63
PAK,202122,83,23,26,0,11,143
PAK,202123,24,5,16,0,11,56
PAK,202124,8,5,0,0,6,19
PAK,202125,22,3,6,0,8,39
PAK,202126,17,2,16,0,2,37
PAK,202127,0,3,15,0,0,18
PAK,202128,1,0,33,0,2,36
PAK,202129,6,2,27,0,2,37
PAK,202130,0,0,34,0,3,37
PAK,202131,1,0,71,0,1,73
PAK,202132,0,0,57,0,1,58
PAK,202133,0,0,55,0,1,56
PAK,202134,2,0,138,0,3,143
PAK,202135,0,0,30,0,0,30
PAK,202136,0,0,39,0,0,39
PAK,202137,0,0,36,0,0,36
PAK,202138,0,0,22,0,0,22
PAK,202139,0,0,9,0,1,10
PAK,202140,0,0,20,0,1,21
PAK,202141,0,0,27,0,0,27
PAK,202142,0,0,20,0,3,23
PAK,202143,0,0,27,0,0,27
PAK,202144,0,0,32,0,1,33
PAK,202145,0,0,9,0,1,10
PAK,202146,0,0,7,0,0,7
PAK,202147,0,0,4,0,2,6
PAK,202148,0,0,6,1,11,18
PAK,202149,0,0,8,3,4,15
PAK,202150,0,0,6,2,4,12
PAK,202151,0,0,5,12,1,18
PAK,202152,0,0,1,19,2,22
PAK,202201,0,0,0,15,0,15
PAK,202202,0,0,0,4,1,5
