Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
ZAF,202010,Female,0,0,0,0,1,1
ZAF,202010,Male,0,0,0,0,1,1
ZAF,202011,Female,0,0,0,0,1,1
ZAF,202011,Male,0,0,0,0,1,1
ZAF,202012,Female,0,0,0,0,8,8
ZAF,202012,Male,0,0,0,0,11,11
ZAF,202013,Female,0,0,0,0,18,18
ZAF,202013,Male,0,0,0,0,13,13
ZAF,202014,Female,0,0,0,0,30,30
ZAF,202014,Male,0,0,0,0,22,22
ZAF,202015,Female,0,0,0,0,32,32
ZAF,202015,Male,0,0,0,0,11,11
ZAF,202016,Female,0,0,0,0,35,35
ZAF,202016,Male,0,0,0,0,21,21
ZAF,202017,Female,0,0,0,0,44,44
ZAF,202017,Male,0,0,0,0,23,23
ZAF,202018,Female,0,0,0,0,18,18
ZAF,202018,Male,0,0,0,0,12,12
ZAF,202019,Female,0,0,0,0,66,66
ZAF,202019,Male,0,0,0,0,34,34
ZAF,202020,Female,0,0,0,0,16,16
ZAF,202020,Male,0,0,0,0,12,12
ZAF,202021,Female,0,0,0,0,27,27
ZAF,202021,Male,0,0,0,0,11,11
ZAF,202022,Female,0,0,0,0,30,30
ZAF,202022,Male,0,0,0,0,15,15
ZAF,202023,Female,0,0,0,0,40,40
ZAF,202023,Male,0,0,0,0,15,15
ZAF,202024,Female,0,0,0,0,24,24
ZAF,202024,Male,0,0,0,0,17,17
ZAF,202025,Female,0,0,0,0,105,105
ZAF,202025,Male,0,0,0,0,29,29
ZAF,202026,Female,0,1,0,0,74,75
ZAF,202026,Male,0,1,1,0,30,32
ZAF,202027,Female,0,0,0,0,92,92
ZAF,202027,Male,0,0,0,0,51,51
ZAF,202028,Female,0,0,0,0,94,94
ZAF,202028,Male,0,0,0,0,50,50
ZAF,202029,Female,0,0,0,0,182,182
ZAF,202029,Male,0,0,0,0,72,72
ZAF,202030,Female,0,0,0,0,137,137
ZAF,202030,Male,0,0,0,0,81,81
ZAF,202031,Female,0,0,0,0,154,154
ZAF,202031,Male,0,0,0,0,84,84
ZAF,202032,Female,0,0,0,0,56,56
ZAF,202032,Male,0,0,0,0,37,37
ZAF,202033,Female,0,0,0,0,83,83
ZAF,202033,Male,0,0,0,0,48,48
ZAF,202034,Female,0,1,0,0,31,32
ZAF,202034,Male,0,0,0,0,34,34
ZAF,202035,Female,0,0,0,0,33,33
ZAF,202035,Male,0,1,0,0,23,24
ZAF,202036,Female,0,0,0,0,78,78
ZAF,202036,Male,0,1,0,0,55,56
ZAF,202037,Female,0,0,0,0,85,85
ZAF,202037,Male,0,0,0,0,74,74
ZAF,202038,Female,0,9,0,0,61,70
ZAF,202038,Male,0,20,0,0,48,68
ZAF,202039,Female,0,8,0,0,45,53
ZAF,202039,Male,0,9,0,0,28,37
ZAF,202040,Female,0,14,0,0,57,71
ZAF,202040,Male,0,13,0,0,30,43
ZAF,202041,Female,0,13,0,0,104,117
ZAF,202041,Male,0,8,0,0,60,68
ZAF,202042,Female,0,22,0,0,73,95
ZAF,202042,Male,0,30,0,0,41,71
ZAF,202043,Female,0,36,0,0,87,123
ZAF,202043,Male,0,18,0,0,49,67
ZAF,202044,Female,0,46,0,0,90,136
ZAF,202044,Male,0,38,0,0,58,96
ZAF,202045,Female,0,70,0,0,73,143
ZAF,202045,Male,0,60,0,0,45,105
ZAF,202046,Female,0,55,0,0,34,89
ZAF,202046,Male,0,37,0,0,24,61
ZAF,202047,Female,0,89,0,0,50,139
ZAF,202047,Male,0,66,0,0,55,121
ZAF,202048,Female,0,104,0,0,32,136
ZAF,202048,Male,0,84,0,0,15,99
ZAF,202049,Female,0,127,0,0,23,150
ZAF,202049,Male,0,72,0,0,8,80
ZAF,202050,Female,0,113,0,0,13,126
ZAF,202050,Male,0,99,0,0,8,107
ZAF,202051,Female,0,167,0,0,10,177
ZAF,202051,Male,0,95,0,0,9,104
ZAF,202052,Female,0,195,0,0,21,216
ZAF,202052,Male,0,140,2,0,14,156
ZAF,202053,Female,0,237,0,0,26,263
ZAF,202053,Male,0,159,0,0,20,179
ZAF,202101,Female,2,264,0,0,62,328
ZAF,202101,Male,1,208,0,0,36,245
ZAF,202102,Female,0,190,0,0,25,215
ZAF,202102,Male,0,137,0,0,14,151
ZAF,202103,Female,0,112,0,0,16,128
ZAF,202103,Male,0,76,1,0,10,87
ZAF,202104,Female,0,96,0,0,15,111
ZAF,202104,Male,0,78,0,0,6,84
ZAF,202105,Female,0,105,0,0,8,113
ZAF,202105,Male,0,68,0,0,1,69
ZAF,202106,Female,1,58,0,0,5,64
ZAF,202106,Male,1,56,0,0,6,63
ZAF,202107,Female,0,72,0,0,13,85
ZAF,202107,Male,0,56,0,0,7,63
ZAF,202108,Female,0,51,0,0,5,56
ZAF,202108,Male,2,34,1,0,1,38
ZAF,202109,Female,1,70,0,0,2,73
ZAF,202109,Male,0,53,0,0,4,57
ZAF,202110,Female,1,115,2,0,15,133
ZAF,202110,Male,2,74,2,0,9,87
ZAF,202111,Female,0,71,6,0,35,112
ZAF,202111,Male,2,64,2,0,20,88
ZAF,202112,Female,0,82,2,0,12,96
ZAF,202112,Male,2,55,1,0,17,75
ZAF,202113,Female,1,49,3,0,13,66
ZAF,202113,Male,0,52,5,0,12,69
ZAF,202114,Female,0,55,0,0,7,62
ZAF,202114,Male,0,34,0,0,3,37
ZAF,202115,Female,1,63,1,0,15,80
ZAF,202115,Male,1,40,4,0,8,53
ZAF,202116,Female,3,93,2,0,35,133
ZAF,202116,Male,0,72,0,0,27,99
ZAF,202117,Female,5,66,0,0,16,87
ZAF,202117,Male,6,52,3,0,8,69
ZAF,202118,Female,3,129,2,0,29,163
ZAF,202118,Male,5,89,19,0,12,125
ZAF,202119,Female,12,103,12,0,27,154
ZAF,202119,Male,4,75,10,0,16,105
ZAF,202120,Female,8,116,18,0,24,166
ZAF,202120,Male,11,72,14,0,17,114
ZAF,202121,Female,12,118,47,0,28,205
ZAF,202121,Male,9,76,34,0,25,144
ZAF,202122,Female,22,120,123,0,40,305
ZAF,202122,Male,6,104,75,0,41,226
ZAF,202123,Female,13,102,166,0,40,321
ZAF,202123,Male,3,72,96,0,32,203
ZAF,202124,Female,15,51,282,0,62,410
ZAF,202124,Male,12,47,192,0,38,289
ZAF,202125,Female,9,41,384,0,50,484
ZAF,202125,Male,7,28,254,0,32,321
ZAF,202126,Female,7,44,499,0,76,626
ZAF,202126,Male,9,19,377,0,47,452
ZAF,202127,Female,0,8,559,0,74,641
ZAF,202127,Male,1,23,380,0,42,446
ZAF,202128,Female,0,16,503,0,32,551
