Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
MYS,202004,0,0,0,0,0,6,6
MYS,202005,0,0,0,0,0,3,3
MYS,202006,0,0,0,0,0,3,3
MYS,202007,0,0,0,0,0,2,2
MYS,202009,0,0,0,0,0,4,4
MYS,202010,0,0,0,0,0,9,9
MYS,202011,0,0,0,0,0,7,7
MYS,202012,0,0,0,0,0,17,17
MYS,202013,0,0,0,0,0,24,24
MYS,202014,0,0,0,0,0,36,36
MYS,202015,0,0,0,0,0,30,30
MYS,202016,0,0,0,0,0,9,9
MYS,202017,0,0,0,0,0,7,7
MYS,202018,0,0,0,0,0,3,3
MYS,202019,0,0,0,0,0,3,3
MYS,202020,0,0,0,0,0,4,4
MYS,202021,0,0,0,0,0,12,12
MYS,202022,0,0,0,0,0,5,5
MYS,202023,0,0,0,0,0,3,3
MYS,202024,0,0,0,0,0,3,3
MYS,202028,0,0,0,0,0,1,1
MYS,202029,0,0,0,0,0,1,1
MYS,202030,0,0,0,0,0,2,2
MYS,202031,0,0,0,0,0,5,5
MYS,202033,0,0,0,0,0,5,5
MYS,202034,0,0,0,0,0,5,5
MYS,202036,0,0,0,0,0,22,22
MYS,202037,0,0,0,0,0,1,1
MYS,202040,0,0,0,0,0,16,16
MYS,202041,0,0,0,0,0,11,11
MYS,202042,0,0,0,0,0,18,18
MYS,202043,0,0,0,0,0,23,23
MYS,202044,0,0,0,0,0,33,33
MYS,202045,0,0,0,0,0,43,43
MYS,202046,0,0,0,0,0,33,33
MYS,202047,0,0,0,0,0,30,30
MYS,202048,0,0,0,0,0,31,31
MYS,202049,0,1,0,0,0,11,12
MYS,202050,0,0,0,0,0,23,23
MYS,202051,0,0,0,0,0,41,41
MYS,202052,0,0,0,0,0,14,14
MYS,202053,1,0,0,0,0,20,21
MYS,202101,0,0,0,0,0,53,53
MYS,202102,0,0,4,0,0,86,90
MYS,202103,0,0,0,0,0,87,87
MYS,202104,1,0,0,0,0,48,49
MYS,202105,0,2,1,0,0,53,56
MYS,202106,1,0,7,0,0,40,48
MYS,202107,0,0,0,0,0,47,47
MYS,202108,0,7,0,0,0,48,55
MYS,202109,0,2,0,0,0,16,18
MYS,202110,0,9,7,0,0,19,35
MYS,202111,0,3,1,0,0,25,29
MYS,202112,2,7,1,0,0,29,39
MYS,202113,1,4,0,0,0,56,61
MYS,202114,7,15,7,0,0,75,104
MYS,202115,7,42,0,0,0,64,113
MYS,202116,7,36,0,0,0,24,67
MYS,202117,1,30,2,0,0,34,67
MYS,202118,0,36,6,0,0,51,93
MYS,202119,0,13,10,0,0,11,34
MYS,202120,0,24,9,0,0,23,56
MYS,202121,0,11,3,0,0,10,24
MYS,202122,2,7,8,0,0,22,39
MYS,202123,0,4,29,0,0,6,39
MYS,202124,1,4,21,0,0,13,39
MYS,202125,2,6,37,0,0,19,64
MYS,202126,0,1,77,0,0,10,88
MYS,202127,0,1,52,0,0,3,56
MYS,202128,0,1,71,0,0,2,74
MYS,202129,0,4,128,0,0,11,143
MYS,202130,0,4,166,0,0,9,179
MYS,202131,0,3,233,0,0,21,257
MYS,202132,0,0,306,0,0,4,310
MYS,202133,0,0,308,0,0,3,311
MYS,202134,0,1,396,0,0,1,398
MYS,202135,0,0,368,0,0,1,369
MYS,202136,0,2,462,0,0,1,465
MYS,202137,0,0,371,0,0,0,371
MYS,202138,0,1,374,0,0,0,375
MYS,202139,0,0,350,0,0,0,350
MYS,202140,0,0,297,0,0,0,297
MYS,202141,0,0,167,0,0,0,167
MYS,202142,0,0,209,0,0,0,209
MYS,202143,0,1,242,0,0,0,243
MYS,202144,0,1,236,0,0,2,239
MYS,202145,0,0,210,0,0,1,211
MYS,202146,0,0,202,1,0,0,203
MYS,202147,0,0,195,0,0,1,196
MYS,202148,0,0,249,0,0,1,250
MYS,202149,0,0,184,2,0,6,192
MYS,202150,0,0,158,22,0,49,229
MYS,202151,0,0,120,53,2,251,426
MYS,202152,0,0,44,45,4,193,286
MYS,202201,0,0,43,19,4,96,162
MYS,202202,0,0,14,1,1,30,46
MYS,202203,0,0,7,15,20,98,140
MYS,202204,0,0,2,0,0,31,33
MYS,202205,0,0,0,3,3,40,46
MYS,202206,0,0,0,1,0,8,9
