Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
COL,202010,Female,0,0,0,0,1,1
COL,202011,Female,0,0,0,0,6,6
COL,202011,Male,0,0,0,0,13,13
COL,202012,Female,0,0,0,0,10,10
COL,202012,Male,0,0,0,0,13,13
COL,202013,Female,0,0,0,0,11,11
COL,202013,Male,0,0,0,0,14,14
COL,202014,Female,0,0,0,0,31,31
COL,202014,Male,0,0,0,0,41,41
COL,202015,Female,0,0,0,0,5,5
COL,202015,Male,0,0,0,0,8,8
COL,202016,Female,0,0,0,0,4,4
COL,202016,Male,0,0,0,0,14,14
COL,202017,Female,0,0,0,0,7,7
COL,202017,Male,0,0,0,0,9,9
COL,202018,Female,0,0,0,0,15,15
COL,202018,Male,0,0,0,0,15,15
COL,202019,Female,0,0,0,0,24,24
COL,202019,Male,0,0,0,0,29,29
COL,202020,Female,0,0,0,0,1,1
COL,202021,Male,0,0,0,0,1,1
COL,202022,Female,0,0,0,0,2,2
COL,202022,Male,0,0,0,0,1,1
COL,202023,Female,0,0,0,0,2,2
COL,202023,Male,0,0,0,0,3,3
COL,202024,Female,0,0,0,0,2,2
COL,202024,Male,0,0,0,0,1,1
COL,202025,Female,0,0,0,0,6,6
COL,202025,Male,0,0,0,0,5,5
COL,202026,Female,0,0,0,0,12,12
COL,202026,Male,0,0,0,0,7,7
COL,202027,Female,0,0,0,0,5,5
COL,202027,Male,0,0,0,0,2,2
COL,202028,Female,0,0,0,0,8,8
COL,202028,Male,0,0,0,0,10,10
COL,202029,Female,0,0,0,0,5,5
COL,202029,Male,0,0,0,0,7,7
COL,202030,Female,0,0,0,0,3,3
COL,202030,Male,0,0,0,0,2,2
COL,202031,Female,0,0,0,0,1,1
COL,202031,Male,0,0,0,0,3,3
COL,202032,Female,0,0,0,0,8,8
COL,202032,Male,0,0,0,0,10,10
COL,202033,Female,0,0,0,0,1,1
COL,202033,Male,0,0,0,0,1,1
COL,202034,Male,0,0,0,0,4,4
COL,202035,Female,0,0,0,0,1,1
COL,202036,Female,0,0,0,0,2,2
COL,202037,Female,0,0,0,0,5,5
COL,202037,Male,0,0,0,0,7,7
COL,202038,Female,0,0,0,0,1,1
COL,202038,Male,0,0,0,0,1,1
COL,202039,Female,0,0,0,0,4,4
COL,202040,Female,0,0,0,0,1,1
COL,202041,Female,0,0,0,0,1,1
COL,202041,Male,0,0,0,0,18,18
COL,202042,Male,0,0,0,0,3,3
COL,202043,Female,0,0,0,0,5,5
COL,202043,Male,0,0,0,0,1,1
COL,202044,Female,0,0,0,0,2,2
COL,202044,Male,0,0,0,0,2,2
COL,202045,Female,0,0,0,0,2,2
COL,202045,Male,0,0,0,0,1,1
COL,202046,Female,0,0,0,0,2,2
COL,202046,Male,0,0,0,0,3,3
COL,202047,Female,0,0,0,0,2,2
COL,202047,Male,0,0,0,0,3,3
COL,202048,Female,0,0,0,0,4,4
COL,202048,Male,0,0,0,0,1,1
COL,202049,Female,0,0,0,0,4,4
COL,202049,Male,0,0,0,0,4,4
COL,202050,Female,0,0,0,0,3,3
COL,202050,Male,0,0,1,0,2,3
COL,202051,Female,0,0,0,0,12,12
COL,202051,Male,0,0,0,0,10,10
COL,202052,Female,0,0,0,0,8,8
COL,202052,Male,0,0,0,0,15,15
COL,202053,Female,0,0,1,0,24,25
COL,202053,Male,0,0,0,0,38,38
COL,202101,Female,0,0,0,0,16,16
COL,202101,Male,0,0,0,0,26,26
COL,202102,Female,0,0,0,0,21,21
COL,202102,Male,0,0,0,0,23,23
COL,202103,Female,0,0,0,0,16,16
COL,202103,Male,0,0,0,0,27,27
COL,202104,Female,0,0,0,0,7,7
COL,202104,Male,0,0,0,0,11,11
COL,202105,Female,0,0,0,0,3,3
COL,202105,Male,0,0,0,0,7,7
COL,202106,Female,0,0,1,0,6,7
COL,202106,Male,0,0,0,0,5,5
COL,202107,Female,1,0,0,0,7,8
COL,202107,Male,1,0,1,0,4,6
COL,202108,Female,0,0,0,0,12,12
COL,202108,Male,1,0,0,0,7,8
COL,202109,Female,0,0,0,0,28,28
COL,202109,Male,1,0,0,0,19,20
COL,202110,Female,0,0,0,0,19,19
COL,202110,Male,1,0,0,0,26,27
COL,202111,Female,1,0,0,0,17,18
COL,202111,Male,1,0,0,0,16,17
COL,202112,Female,3,0,0,0,16,19
COL,202112,Male,5,0,0,0,35,40
COL,202113,Female,3,0,0,0,37,40
COL,202113,Male,4,0,0,0,44,48
COL,202114,Female,13,0,0,0,200,213
COL,202114,Male,22,0,0,0,229,251
COL,202115,Female,13,0,0,0,140,153
COL,202115,Male,32,0,0,0,142,174
COL,202116,Female,4,0,0,0,99,103
COL,202116,Male,6,0,0,0,100,106
COL,202117,Female,1,0,0,0,100,101
COL,202117,Male,6,0,0,0,105,111
COL,202118,Female,4,0,0,0,76,80
COL,202118,Male,3,0,0,0,86,89
COL,202119,Female,1,0,1,0,74,76
COL,202119,Male,0,0,0,0,90,90
COL,202120,Female,1,0,0,0,51,52
COL,202120,Male,2,0,1,0,65,68
COL,202121,Female,0,0,0,0,28,28
COL,202121,Male,1,0,0,0,33,34
COL,202122,Female,0,0,0,0,50,50
COL,202122,Male,0,0,1,0,44,45
COL,202123,Female,0,0,1,0,51,52
COL,202123,Male,0,0,0,0,95,95
COL,202124,Female,0,0,0,0,44,44
COL,202124,Male,0,0,0,0,55,55
COL,202125,Female,0,0,2,0,57,59
COL,202125,Male,0,0,2,0,55,57
COL,202126,Female,0,0,3,0,114,117
COL,202126,Male,0,0,0,0,96,96
COL,202127,Female,1,0,4,0,105,110
COL,202127,Male,0,0,3,0,109,112
COL,202128,Female,0,0,16,0,238,254
COL,202128,Male,0,0,16,0,205,221
