Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
DEU,202005,0,0,0,0,8,8
DEU,202006,0,0,0,0,5,5
DEU,202007,0,0,0,0,3,3
DEU,202009,0,0,0,0,19,19
DEU,202010,0,0,0,0,148,148
DEU,202011,0,0,0,0,309,309
DEU,202012,0,0,0,0,642,642
DEU,202013,0,0,0,0,593,593
DEU,202014,0,0,0,0,243,243
DEU,202015,0,0,0,0,172,172
DEU,202016,0,0,0,0,147,147
DEU,202017,0,0,0,0,115,115
DEU,202018,0,0,0,0,76,76
DEU,202019,0,0,0,0,33,33
DEU,202020,0,0,0,0,36,36
DEU,202021,0,0,0,0,61,61
DEU,202022,0,0,0,0,46,46
DEU,202023,0,0,0,0,38,38
DEU,202024,0,0,0,0,36,36
DEU,202025,0,0,0,0,1375,1375
DEU,202026,0,0,0,0,467,467
DEU,202027,0,0,0,0,37,37
DEU,202028,0,0,0,0,68,68
DEU,202029,0,0,0,0,32,32
DEU,202030,0,0,0,0,19,19
DEU,202031,0,0,0,0,37,37
DEU,202032,0,0,0,0,39,39
DEU,202033,0,0,0,0,84,84
DEU,202034,0,0,0,0,103,103
DEU,202035,0,0,0,0,91,91
DEU,202036,0,0,0,0,52,52
DEU,202037,0,0,0,0,65,65
DEU,202038,0,0,0,0,112,112
DEU,202039,0,0,0,0,199,199
DEU,202040,0,0,0,0,166,166
DEU,202041,0,0,0,0,173,173
DEU,202042,0,0,0,0,200,200
DEU,202043,0,0,0,0,158,158
DEU,202044,0,0,0,0,250,250
DEU,202045,0,0,0,0,268,268
DEU,202046,0,0,0,0,259,259
DEU,202047,0,0,0,0,323,323
DEU,202048,0,0,0,0,333,333
DEU,202049,3,0,0,0,413,416
DEU,202050,2,0,0,0,549,551
DEU,202051,3,0,0,0,439,442
DEU,202052,14,1,0,0,380,395
DEU,202053,12,5,1,0,265,283
DEU,202101,7,2,0,0,493,502
DEU,202102,89,16,0,0,923,1028
DEU,202103,235,10,0,0,1827,2072
DEU,202104,476,15,0,0,2544,3035
DEU,202105,753,43,0,0,2471,3267
DEU,202106,1674,66,0,0,2377,4117
DEU,202107,2492,78,0,0,2425,4995
DEU,202108,2693,114,0,0,2606,5413
DEU,202109,3553,140,0,0,2156,5849
DEU,202110,4965,184,1,0,1679,6829
DEU,202111,6232,155,1,0,1124,7512
DEU,202112,7085,180,3,0,920,8188
DEU,202113,7529,158,0,0,715,8402
DEU,202114,7424,176,10,0,476,8086
DEU,202115,10387,204,17,0,486,11094
DEU,202116,9691,125,56,0,346,10218
DEU,202117,8688,140,74,0,306,9208
DEU,202118,8521,197,164,0,410,9292
DEU,202119,5956,89,115,0,221,6381
DEU,202120,5057,56,197,0,284,5594
DEU,202121,3916,31,191,0,256,4394
DEU,202122,2657,28,310,0,200,3195
DEU,202123,1618,10,444,0,218,2290
DEU,202124,716,14,599,0,133,1462
DEU,202125,389,5,688,0,90,1172
DEU,202126,235,3,927,0,115,1280
DEU,202127,122,2,1164,0,77,1365
DEU,202128,72,2,1554,0,68,1696
DEU,202129,52,0,2782,0,31,2865
DEU,202130,33,3,2602,0,29,2667
DEU,202131,33,0,3434,0,14,3481
DEU,202132,27,0,5188,0,14,5229
DEU,202133,29,0,7404,0,14,7447
DEU,202134,21,0,9671,0,11,9703
DEU,202135,11,7,9833,0,12,9863
DEU,202136,9,1,10775,0,11,10796
DEU,202137,1,0,9243,0,4,9248
DEU,202138,1,0,8654,0,14,8669
DEU,202139,5,0,7107,0,4,7116
DEU,202140,1,0,6763,0,2,6766
DEU,202141,0,0,5497,0,2,5499
DEU,202142,0,0,8164,0,4,8168
DEU,202143,0,0,7532,0,2,7534
DEU,202144,0,0,8609,0,4,8613
DEU,202145,3,3,9751,0,14,9771
DEU,202146,0,0,12005,0,2,12007
DEU,202147,0,1,11568,32,12,11613
DEU,202148,1,0,11581,206,34,11822
DEU,202149,0,0,12226,459,28,12713
DEU,202150,1,0,10482,1555,34,12072
DEU,202151,0,0,7241,2376,73,9690
DEU,202152,0,0,5236,6686,58,11980
DEU,202201,0,0,3636,8988,40,12664
DEU,202202,0,0,1585,7340,47,8972
DEU,202203,0,0,382,2392,12,2786
DEU,202204,0,0,30,6,0,36
