Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
DEU,202005,0,0,0,0,1,1
DEU,202006,0,0,0,0,2,2
DEU,202007,0,0,0,0,3,3
DEU,202009,0,0,0,0,2,2
DEU,202010,0,0,0,0,75,75
DEU,202011,0,0,0,0,95,95
DEU,202012,0,0,0,0,143,143
DEU,202013,0,0,0,0,152,152
DEU,202014,0,0,0,0,149,149
DEU,202015,0,0,0,0,106,106
DEU,202016,0,0,0,0,97,97
DEU,202017,0,0,0,0,44,44
DEU,202018,0,0,0,0,39,39
DEU,202019,0,0,0,0,15,15
DEU,202020,0,0,0,0,12,12
DEU,202021,0,0,0,0,27,27
DEU,202022,0,0,0,0,14,14
DEU,202023,0,0,0,0,8,8
DEU,202024,0,0,0,0,9,9
DEU,202025,0,0,0,0,37,37
DEU,202026,0,0,0,0,9,9
DEU,202027,0,0,0,0,4,4
DEU,202028,0,0,0,0,10,10
DEU,202029,0,0,0,0,10,10
DEU,202030,0,0,0,0,5,5
DEU,202031,0,0,0,0,7,7
DEU,202032,0,0,0,0,2,2
DEU,202033,0,0,0,0,45,45
DEU,202034,0,0,0,0,17,17
DEU,202035,0,0,0,0,6,6
DEU,202036,0,0,0,0,10,10
DEU,202037,0,0,0,0,8,8
DEU,202038,0,0,0,0,25,25
DEU,202039,0,0,0,0,56,56
DEU,202040,0,0,0,0,39,39
DEU,202041,0,0,0,0,60,60
DEU,202042,0,0,0,0,92,92
DEU,202043,0,0,0,0,113,113
DEU,202044,0,0,0,0,135,135
DEU,202045,0,0,0,0,109,109
DEU,202046,0,0,0,0,130,130
DEU,202047,0,0,0,0,182,182
DEU,202048,0,0,0,0,182,182
DEU,202049,1,0,0,0,187,188
DEU,202050,2,0,0,0,305,307
DEU,202051,1,0,0,0,230,231
DEU,202052,1,0,0,0,185,186
DEU,202053,3,3,0,0,173,179
DEU,202101,0,0,0,0,243,243
DEU,202102,9,2,0,0,138,149
DEU,202103,25,0,0,0,169,194
DEU,202104,31,0,0,0,152,183
DEU,202105,31,0,0,0,195,226
DEU,202106,39,2,0,0,157,198
DEU,202107,40,2,0,0,97,139
DEU,202108,130,11,0,0,75,216
DEU,202109,152,4,0,0,136,292
DEU,202110,244,22,0,0,69,335
DEU,202111,219,7,1,0,60,287
DEU,202112,332,13,1,0,88,434
DEU,202113,239,7,0,0,48,294
DEU,202114,292,9,0,0,46,347
DEU,202115,352,10,0,0,38,400
DEU,202116,421,6,2,0,25,454
DEU,202117,360,13,6,0,17,396
DEU,202118,298,7,3,0,8,316
DEU,202119,204,3,9,0,11,227
DEU,202120,149,0,6,0,5,160
DEU,202121,85,0,7,0,5,97
DEU,202122,33,0,5,0,1,39
DEU,202123,39,1,8,0,0,48
DEU,202124,14,0,11,0,0,25
DEU,202125,8,0,8,0,2,18
DEU,202126,0,0,9,0,0,9
DEU,202127,6,0,39,0,2,47
DEU,202128,1,0,80,0,0,81
DEU,202129,2,0,53,0,1,56
DEU,202130,2,0,45,0,1,48
DEU,202131,1,0,60,0,1,62
DEU,202132,4,0,80,0,0,84
DEU,202133,3,0,137,0,3,143
DEU,202134,0,0,168,0,5,173
DEU,202135,0,0,136,0,1,137
DEU,202136,0,0,98,0,2,100
DEU,202137,0,0,100,0,0,100
DEU,202138,0,0,111,0,6,117
DEU,202139,0,0,76,0,2,78
DEU,202140,0,0,42,0,1,43
DEU,202141,0,0,90,0,1,91
DEU,202142,0,0,129,0,1,130
DEU,202143,0,0,247,0,1,248
DEU,202144,0,0,235,0,1,236
DEU,202145,0,0,226,0,1,227
DEU,202146,0,0,397,0,0,397
DEU,202147,0,0,359,10,0,369
DEU,202148,0,0,381,11,1,393
DEU,202149,0,0,258,20,3,281
DEU,202150,0,0,73,15,1,89
DEU,202151,0,0,32,29,0,61
DEU,202152,0,0,47,52,0,99
DEU,202201,0,0,49,86,0,135
DEU,202202,0,0,20,104,0,124
