Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
POL,202010,0,0,0,0,3,3
POL,202011,0,0,0,0,2,2
POL,202012,0,0,0,0,6,6
POL,202013,0,0,0,0,13,13
POL,202014,0,0,0,0,28,28
POL,202015,0,0,0,0,4,4
POL,202016,0,0,0,0,4,4
POL,202017,1,0,0,0,2,3
POL,202018,0,0,0,0,7,7
POL,202019,0,0,0,0,5,5
POL,202020,0,0,0,0,1,1
POL,202021,0,0,0,0,15,15
POL,202022,0,0,0,0,1,1
POL,202023,0,0,0,0,2,2
POL,202024,0,0,0,0,5,5
POL,202036,0,0,0,0,2,2
POL,202040,0,0,0,0,1,1
POL,202041,0,0,0,0,1,1
POL,202043,0,0,0,0,1,1
POL,202044,0,0,0,0,1,1
POL,202045,0,0,0,0,4,4
POL,202046,0,0,0,0,2,2
POL,202047,0,0,0,0,2,2
POL,202048,0,0,0,0,22,22
POL,202049,0,0,0,0,5,5
POL,202050,0,0,0,0,21,21
POL,202051,0,0,0,0,29,29
POL,202052,1,0,0,0,111,112
POL,202053,0,0,1,0,2,3
POL,202101,1,0,1,0,44,46
POL,202102,8,0,0,0,66,74
POL,202103,6,0,0,0,112,118
POL,202104,25,0,0,0,174,199
POL,202105,40,0,0,0,131,171
POL,202106,115,3,0,0,135,253
POL,202107,272,1,0,0,190,463
POL,202108,496,3,0,0,218,717
POL,202109,619,2,0,0,140,761
POL,202110,1071,2,0,0,132,1205
POL,202111,783,2,0,0,55,840
POL,202112,853,3,0,0,33,889
POL,202113,1010,3,0,0,16,1029
POL,202114,1009,1,0,0,18,1028
POL,202115,1542,3,0,0,21,1566
POL,202116,1491,3,1,0,33,1528
POL,202117,1196,6,13,0,7,1222
POL,202118,1270,2,24,0,38,1334
POL,202119,1185,6,16,0,14,1221
POL,202120,946,1,22,0,36,1005
POL,202121,649,0,15,0,10,674
POL,202122,319,2,6,0,18,345
POL,202123,218,1,20,0,41,280
POL,202124,89,0,12,0,8,109
POL,202125,23,0,15,0,4,42
POL,202126,54,0,56,0,9,119
POL,202127,8,2,48,0,8,66
POL,202128,9,0,85,0,7,101
POL,202129,7,0,126,0,6,139
POL,202130,7,0,161,0,9,177
POL,202131,2,0,171,0,3,176
POL,202132,1,0,154,0,2,157
POL,202133,1,0,579,0,2,582
POL,202134,2,0,383,0,1,386
POL,202135,0,0,527,0,1,528
POL,202136,0,0,632,0,0,632
POL,202137,0,0,802,0,4,806
POL,202138,0,0,830,0,3,833
POL,202139,1,0,866,0,1,868
POL,202140,0,0,1186,0,0,1186
POL,202141,0,0,1106,0,0,1106
POL,202142,0,0,1379,0,2,1381
POL,202143,0,0,1361,0,2,1363
POL,202144,0,0,2168,0,0,2168
POL,202145,0,0,1911,0,1,1912
POL,202146,0,0,1048,0,0,1048
POL,202147,0,0,1219,0,0,1219
POL,202148,0,0,1513,0,0,1513
POL,202149,0,0,1980,5,0,1985
POL,202150,0,0,1731,21,1,1753
POL,202151,0,0,1560,95,12,1667
POL,202152,0,0,1545,311,34,1890
POL,202201,0,0,2078,1742,79,3899
POL,202202,0,0,1155,3154,31,4340
POL,202203,0,0,463,4586,5,5054
POL,202204,0,0,128,4467,20,4615
POL,202205,0,0,39,4792,1,4832
POL,202206,0,0,15,3500,0,3515
POL,202207,0,0,6,1921,0,1927
POL,202208,0,0,1,1183,0,1184
POL,202209,0,0,0,527,0,527
POL,202210,0,0,1,320,1,322
