Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
HND,202101,70 – 80,0,0,0,0,1,1
HND,202102,50 – 60,0,0,0,0,1,1
HND,202102,70 – 80,0,0,0,0,1,1
HND,202103,>= 80,0,0,0,0,1,1
HND,202104,10 – 20,0,0,0,0,2,2
HND,202104,20 – 30,0,0,0,0,3,3
HND,202104,30 – 40,0,0,0,0,1,1
HND,202104,60 – 70,0,0,0,0,1,1
HND,202106,10 – 20,0,0,0,0,1,1
HND,202106,30 – 40,0,0,0,0,1,1
HND,202107,10 – 20,0,0,0,0,2,2
HND,202107,20 – 30,0,0,0,0,3,3
HND,202107,30 – 40,0,0,0,0,3,3
HND,202107,40 – 50,0,0,0,0,1,1
HND,202107,50 – 60,0,0,0,0,3,3
HND,202107,60 – 70,0,0,0,0,3,3
HND,202107,70 – 80,0,0,0,0,1,1
HND,202113,60 – 70,0,0,0,0,1,1
HND,202115,20 – 30,0,0,0,0,1,1
HND,202115,30 – 40,0,0,0,0,1,1
HND,202115,40 – 50,0,0,0,0,2,2
HND,202116,10 – 20,0,0,0,0,2,2
HND,202116,20 – 30,0,0,0,0,6,6
HND,202116,30 – 40,1,0,0,0,3,4
HND,202116,40 – 50,0,0,0,0,1,1
HND,202116,5 – 10,0,0,0,0,3,3
HND,202116,50 – 60,0,0,0,0,2,2
HND,202116,60 – 70,0,0,0,0,2,2
HND,202116,>= 80,0,0,0,0,1,1
HND,202117,10 – 20,0,0,0,0,2,2
HND,202117,20 – 30,0,0,0,0,3,3
HND,202117,30 – 40,0,0,0,0,1,1
HND,202117,40 – 50,0,0,0,0,1,1
HND,202117,5 – 10,0,0,0,0,1,1
HND,202117,60 – 70,0,0,0,0,1,1
HND,202117,>= 80,0,0,0,0,1,1
HND,202118,10 – 20,0,0,0,0,1,1
HND,202120,30 – 40,0,0,0,0,3,3
HND,202120,40 – 50,0,0,0,0,1,1
HND,202120,50 – 60,0,0,0,0,1,1
HND,202120,70 – 80,0,0,0,0,1,1
HND,202121,20 – 30,0,0,0,0,2,2
HND,202121,30 – 40,0,0,0,0,1,1
HND,202121,40 – 50,0,0,0,0,2,2
HND,202121,50 – 60,0,0,0,0,1,1
HND,202123,1 – 5,0,0,0,0,2,2
HND,202123,10 – 20,0,0,0,0,4,4
HND,202123,20 – 30,0,0,0,0,4,4
HND,202123,30 – 40,0,0,0,0,4,4
HND,202123,40 – 50,0,0,0,0,2,2
HND,202123,5 – 10,0,0,0,0,2,2
HND,202123,50 – 60,0,0,0,0,3,3
HND,202123,60 – 70,0,0,0,0,1,1
HND,202123,70 – 80,0,0,0,0,2,2
HND,202123,< 1,0,0,0,0,1,1
HND,202123,>= 80,0,0,0,0,1,1
HND,202124,10 – 20,0,0,0,0,2,2
HND,202124,20 – 30,0,0,0,0,1,1
HND,202124,30 – 40,0,0,0,0,3,3
HND,202124,40 – 50,0,0,0,0,1,1
HND,202124,50 – 60,0,0,0,0,1,1
HND,202128,20 – 30,0,0,0,0,1,1
HND,202128,30 – 40,0,0,0,0,1,1
HND,202130,20 – 30,0,0,1,0,0,1
HND,202130,50 – 60,0,0,1,0,0,1
HND,202130,60 – 70,0,0,1,0,0,1
HND,202134,60 – 70,0,0,0,0,1,1
HND,202135,20 – 30,0,0,1,0,1,2
HND,202135,30 – 40,0,0,0,0,1,1
HND,202135,70 – 80,0,0,1,0,0,1
HND,202136,1 – 5,0,0,1,0,0,1
HND,202136,10 – 20,0,0,1,0,0,1
HND,202136,20 – 30,0,0,1,0,0,1
HND,202136,30 – 40,0,0,1,0,0,1
HND,202136,5 – 10,0,0,1,0,0,1
HND,202136,60 – 70,0,0,1,0,0,1
HND,202137,1 – 5,0,0,1,0,0,1
HND,202137,20 – 30,0,0,2,0,0,2
HND,202137,30 – 40,0,0,3,0,0,3
HND,202137,40 – 50,0,0,3,0,0,3
HND,202137,50 – 60,0,0,1,0,0,1
HND,202137,60 – 70,0,0,1,0,0,1
HND,202137,70 – 80,0,0,3,0,0,3
HND,202137,< 1,0,0,1,0,0,1
HND,202137,>= 80,0,0,1,0,0,1
HND,202138,20 – 30,0,0,1,0,0,1
HND,202138,60 – 70,0,0,1,0,0,1
HND,202139,20 – 30,0,0,1,0,0,1
HND,202139,50 – 60,0,0,1,0,0,1
HND,202140,10 – 20,0,0,2,0,0,2
HND,202140,20 – 30,0,0,1,0,0,1
HND,202140,40 – 50,0,0,1,0,0,1
HND,202140,50 – 60,0,0,1,0,0,1
HND,202140,>= 80,0,0,1,0,0,1
