Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
ITA,202005,Female,0,0,0,0,2,2
ITA,202005,Male,0,0,0,0,3,3
ITA,202006,Female,0,0,0,0,2,2
ITA,202006,Male,0,0,0,0,1,1
ITA,202007,Female,0,0,0,0,10,10
ITA,202007,Male,0,0,0,0,5,5
ITA,202008,Female,0,0,0,0,9,9
ITA,202008,Male,0,0,0,0,14,14
ITA,202009,Female,0,0,0,0,56,56
ITA,202009,Male,0,0,0,0,91,91
ITA,202010,Female,0,0,0,0,47,47
ITA,202010,Male,0,0,0,0,93,93
ITA,202011,Female,1,0,0,0,64,65
ITA,202011,Male,0,0,0,0,139,139
ITA,202012,Female,1,0,0,0,76,77
ITA,202012,Male,0,0,0,0,89,89
ITA,202013,Female,0,0,0,0,60,60
ITA,202013,Male,0,0,0,0,78,78
ITA,202014,Female,0,0,0,0,55,55
ITA,202014,Male,0,0,0,0,44,44
ITA,202015,Female,0,0,0,0,51,51
ITA,202015,Male,0,0,0,0,42,42
ITA,202016,Female,0,0,0,0,34,34
ITA,202016,Male,0,0,0,0,32,32
ITA,202017,Female,0,0,0,0,47,47
ITA,202017,Male,0,0,0,0,29,29
ITA,202018,Female,0,0,0,0,43,43
ITA,202018,Male,0,0,0,0,32,32
ITA,202019,Female,0,0,0,0,20,20
ITA,202019,Male,0,0,0,0,12,12
ITA,202020,Female,0,0,0,0,25,25
ITA,202020,Male,0,0,0,0,9,9
ITA,202021,Female,0,0,0,0,6,6
ITA,202021,Male,0,0,0,0,7,7
ITA,202022,Female,0,0,0,0,4,4
ITA,202022,Male,0,0,0,0,3,3
ITA,202023,Female,0,0,0,0,9,9
ITA,202023,Male,0,0,0,0,10,10
ITA,202024,Female,0,0,0,0,11,11
ITA,202024,Male,0,0,0,0,17,17
ITA,202025,Female,0,0,0,0,6,6
ITA,202025,Male,0,0,0,0,15,15
ITA,202026,Female,0,0,0,0,9,9
