Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
FRA,202002,0,0,0,0,3,3
FRA,202004,0,0,0,0,4,4
FRA,202005,0,0,0,0,6,6
FRA,202006,0,0,0,0,6,6
FRA,202007,0,0,0,0,1,1
FRA,202008,0,0,0,0,5,5
FRA,202009,0,0,0,0,29,29
FRA,202010,0,0,0,0,121,121
FRA,202011,0,0,0,0,194,194
FRA,202012,0,0,0,0,362,362
FRA,202013,0,0,0,0,350,350
FRA,202014,0,0,0,0,299,299
FRA,202015,0,0,0,0,199,199
FRA,202016,0,0,0,0,86,86
FRA,202017,0,0,0,0,59,59
FRA,202018,0,0,0,0,37,37
FRA,202019,0,0,0,0,30,30
FRA,202020,0,0,0,0,31,31
FRA,202021,0,0,0,0,16,16
FRA,202022,0,0,0,0,11,11
FRA,202023,0,0,0,0,4,4
FRA,202024,0,0,0,0,11,11
FRA,202025,0,0,0,0,10,10
FRA,202026,0,0,0,0,6,6
FRA,202027,0,0,0,0,7,7
FRA,202028,0,0,0,0,9,9
FRA,202029,0,0,0,0,12,12
FRA,202030,0,0,0,0,11,11
FRA,202031,0,0,0,0,14,14
FRA,202032,0,0,0,0,19,19
FRA,202033,0,0,0,0,47,47
FRA,202034,0,0,0,0,28,28
FRA,202035,0,0,0,0,20,20
FRA,202036,0,0,0,0,100,100
FRA,202037,0,0,0,0,51,51
FRA,202038,0,0,0,0,63,63
FRA,202039,0,0,0,0,51,51
FRA,202040,0,0,0,0,46,46
FRA,202041,0,0,0,0,36,36
FRA,202042,0,0,0,0,71,71
FRA,202043,0,0,0,0,304,304
FRA,202044,0,0,0,0,198,198
FRA,202045,0,0,0,0,164,164
FRA,202046,0,0,0,0,118,118
FRA,202047,1,0,0,0,131,132
FRA,202048,0,0,0,0,92,92
FRA,202049,1,0,0,0,113,114
FRA,202050,0,0,0,0,77,77
FRA,202051,1,0,0,0,128,129
FRA,202052,25,2,0,0,149,176
FRA,202053,35,3,0,0,142,180
FRA,202101,183,4,0,0,362,549
FRA,202102,229,15,1,0,424,669
FRA,202103,288,22,2,0,522,834
FRA,202104,835,63,0,0,780,1678
FRA,202105,495,29,0,0,407,931
FRA,202106,469,43,0,0,368,880
FRA,202107,753,61,0,0,700,1514
FRA,202108,755,58,1,0,415,1229
FRA,202109,1850,144,0,0,706,2700
FRA,202110,1231,100,0,0,333,1664
FRA,202111,2833,236,0,0,592,3661
FRA,202112,1158,125,0,0,349,1632
FRA,202113,2377,252,1,0,423,3053
FRA,202114,967,118,0,0,231,1316
FRA,202115,2123,245,3,0,327,2698
FRA,202116,792,120,15,0,201,1128
FRA,202117,1677,227,28,0,200,2132
FRA,202118,511,114,33,0,107,765
FRA,202119,1556,190,14,0,110,1870
FRA,202120,490,89,20,0,97,696
FRA,202121,1552,100,28,0,151,1831
FRA,202122,362,53,79,0,120,614
FRA,202123,891,87,176,0,111,1265
FRA,202124,143,27,155,0,70,395
FRA,202125,384,85,584,0,156,1209
FRA,202126,254,51,835,0,89,1229
FRA,202127,302,61,1601,0,78,2042
FRA,202128,278,37,4209,0,78,4602
FRA,202129,225,11,6483,0,91,6810
FRA,202130,72,4,3513,0,56,3645
FRA,202131,61,2,2844,0,40,2947
FRA,202132,26,0,3918,0,45,3989
FRA,202133,14,0,4201,0,47,4262
FRA,202134,12,0,4207,0,57,4276
FRA,202135,5,0,3388,0,46,3439
FRA,202136,2,0,2419,0,27,2448
FRA,202137,2,0,1911,0,27,1940
FRA,202138,3,0,1717,0,49,1769
FRA,202139,1,0,1516,0,20,1537
FRA,202140,0,0,1584,0,22,1606
FRA,202141,0,2,1783,0,22,1807
FRA,202142,1,0,3004,0,22,3027
FRA,202143,0,0,6920,0,58,6978
FRA,202144,1,0,5656,0,51,5708
FRA,202145,0,0,4487,2,43,4532
FRA,202146,3,0,4886,0,55,4944
FRA,202147,2,0,4410,12,95,4519
FRA,202148,0,0,6075,71,205,6351
FRA,202149,2,0,5391,371,183,5947
FRA,202150,2,1,4066,1145,178,5392
FRA,202151,1,0,2442,2248,81,4772
FRA,202152,0,1,2403,5105,97,7606
FRA,202201,0,0,757,4156,97,5010
FRA,202202,0,0,267,3272,82,3621
FRA,202203,0,0,76,1793,44,1913
FRA,202204,0,0,12,344,23,379
FRA,202205,0,0,2,26,0,28
