Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
FRA,202002,20 – 30,0,0,0,0,1,1
FRA,202002,40 – 50,0,0,0,0,1,1
FRA,202002,>= 80,0,0,0,0,1,1
FRA,202004,30 – 40,0,0,0,0,4,4
FRA,202005,30 – 40,0,0,0,0,2,2
FRA,202005,40 – 50,0,0,0,0,3,3
FRA,202005,50 – 60,0,0,0,0,1,1
FRA,202006,20 – 30,0,0,0,0,1,1
FRA,202006,30 – 40,0,0,0,0,1,1
FRA,202006,40 – 50,0,0,0,0,1,1
FRA,202006,50 – 60,0,0,0,0,2,2
FRA,202006,>= 80,0,0,0,0,1,1
FRA,202007,20 – 30,0,0,0,0,1,1
FRA,202008,40 – 50,0,0,0,0,1,1
FRA,202008,50 – 60,0,0,0,0,3,3
FRA,202008,60 – 70,0,0,0,0,1,1
FRA,202009,10 – 20,0,0,0,0,1,1
FRA,202009,20 – 30,0,0,0,0,2,2
FRA,202009,30 – 40,0,0,0,0,5,5
FRA,202009,40 – 50,0,0,0,0,5,5
FRA,202009,50 – 60,0,0,0,0,4,4
FRA,202009,60 – 70,0,0,0,0,2,2
FRA,202009,70 – 80,0,0,0,0,7,7
FRA,202009,>= 80,0,0,0,0,3,3
FRA,202010,10 – 20,0,0,0,0,3,3
FRA,202010,20 – 30,0,0,0,0,6,6
FRA,202010,30 – 40,0,0,0,0,10,10
FRA,202010,40 – 50,0,0,0,0,15,15
FRA,202010,50 – 60,0,0,0,0,25,25
FRA,202010,60 – 70,0,0,0,0,18,18
FRA,202010,70 – 80,0,0,0,0,21,21
FRA,202010,>= 80,0,0,0,0,23,23
FRA,202011,10 – 20,0,0,0,0,2,2
FRA,202011,20 – 30,0,0,0,0,9,9
FRA,202011,30 – 40,0,0,0,0,26,26
FRA,202011,40 – 50,0,0,0,0,24,24
FRA,202011,50 – 60,0,0,0,0,49,49
FRA,202011,60 – 70,0,0,0,0,18,18
FRA,202011,70 – 80,0,0,0,0,28,28
FRA,202011,>= 80,0,0,0,0,38,38
FRA,202012,1 – 5,0,0,0,0,1,1
FRA,202012,20 – 30,0,0,0,0,30,30
FRA,202012,30 – 40,0,0,0,0,48,48
