Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
USA,202004,,0,0,0,0,1,1
USA,202004,20 – 30,0,0,0,0,1,1
USA,202004,30 – 40,0,0,0,0,3,3
USA,202004,50 – 60,0,0,0,0,2,2
USA,202004,60 – 70,0,0,0,0,1,1
USA,202005,20 – 30,0,0,0,0,1,1
USA,202005,40 – 50,0,0,0,0,1,1
USA,202005,50 – 60,0,0,0,0,4,4
USA,202005,60 – 70,0,0,0,0,1,1
USA,202006,50 – 60,0,0,0,0,1,1
USA,202007,50 – 60,0,0,0,0,2,2
USA,202008,5 – 10,0,0,0,0,1,1
USA,202008,70 – 80,0,0,0,0,1,1
USA,202009,10 – 20,0,0,0,0,1,1
USA,202009,20 – 30,0,0,0,0,2,2
USA,202009,30 – 40,0,0,0,0,2,2
USA,202009,40 – 50,0,0,0,0,5,5
USA,202009,50 – 60,0,0,0,0,4,4
USA,202009,60 – 70,0,0,0,0,3,3
USA,202009,70 – 80,0,0,0,0,1,1
USA,202009,>= 80,0,0,0,0,1,1
USA,202010,,0,0,0,0,6,6
USA,202010,10 – 20,0,0,0,0,9,9
USA,202010,20 – 30,0,0,0,0,12,12
USA,202010,30 – 40,0,0,0,0,14,14
USA,202010,40 – 50,0,0,0,0,33,33
USA,202010,5 – 10,0,0,0,0,2,2
USA,202010,50 – 60,0,0,0,0,33,33
USA,202010,60 – 70,0,0,0,0,21,21
USA,202010,70 – 80,0,0,0,0,16,16
USA,202010,>= 80,0,0,0,0,7,7
USA,202011,,0,0,0,0,16,16
USA,202011,10 – 20,0,0,0,0,25,25
USA,202011,20 – 30,0,0,0,0,117,117
USA,202011,30 – 40,0,0,1,0,127,128
USA,202011,40 – 50,0,0,0,0,157,157
USA,202011,5 – 10,0,0,0,0,4,4
USA,202011,50 – 60,0,0,0,0,170,170
USA,202011,60 – 70,0,0,0,0,166,166
USA,202011,70 – 80,0,0,0,0,106,106
USA,202011,< 1,0,0,0,0,2,2
USA,202011,>= 80,0,0,0,0,26,26
USA,202012,,0,0,0,0,19,19
USA,202012,1 – 5,0,0,0,0,5,5
USA,202012,10 – 20,0,0,0,0,44,44
USA,202012,20 – 30,0,0,0,0,363,363
USA,202012,30 – 40,1,0,0,0,506,507
USA,202012,40 – 50,0,0,0,0,485,485
USA,202012,5 – 10,0,0,0,0,5,5
USA,202012,50 – 60,0,0,0,0,614,614
USA,202012,60 – 70,0,0,0,0,493,493
USA,202012,70 – 80,0,0,0,0,289,289
USA,202012,< 1,0,0,0,0,3,3
USA,202012,>= 80,0,0,0,0,153,153
USA,202013,,0,0,0,0,27,27
USA,202013,1 – 5,0,0,0,0,1,1
USA,202013,10 – 20,0,0,0,0,16,16
USA,202013,20 – 30,0,0,0,0,93,93
USA,202013,30 – 40,0,0,0,0,189,189
USA,202013,40 – 50,0,0,0,0,187,187
USA,202013,5 – 10,0,0,0,0,2,2
USA,202013,50 – 60,0,0,0,0,240,240
USA,202013,60 – 70,0,0,0,0,263,263
USA,202013,70 – 80,0,0,0,0,145,145
USA,202013,< 1,0,0,0,0,2,2
USA,202013,>= 80,0,0,0,0,127,127
USA,202014,,0,0,0,0,29,29
USA,202014,1 – 5,0,0,0,0,1,1
USA,202014,10 – 20,0,0,0,0,10,10
USA,202014,20 – 30,0,0,0,0,106,106
USA,202014,30 – 40,0,0,0,0,153,153
USA,202014,40 – 50,0,0,0,0,125,125
USA,202014,5 – 10,0,0,0,0,1,1
USA,202014,50 – 60,0,0,0,0,157,157
USA,202014,60 – 70,0,0,0,0,145,145
USA,202014,70 – 80,0,0,0,0,141,141
USA,202014,< 1,0,0,0,0,1,1
USA,202014,>= 80,0,0,0,0,114,114
USA,202015,,0,0,0,0,20,20
USA,202015,10 – 20,0,0,0,0,8,8
USA,202015,20 – 30,0,0,0,0,60,60
USA,202015,30 – 40,0,0,0,0,77,77
USA,202015,40 – 50,0,0,0,0,99,99
USA,202015,5 – 10,0,0,0,0,1,1
USA,202015,50 – 60,0,0,0,0,121,121
USA,202015,60 – 70,0,0,0,0,108,108
USA,202015,70 – 80,0,0,0,0,96,96
USA,202015,>= 80,0,0,0,0,110,110
USA,202016,,0,0,0,0,21,21
USA,202016,10 – 20,0,0,0,0,6,6
USA,202016,20 – 30,0,0,0,0,34,34
USA,202016,30 – 40,0,0,0,0,44,44
USA,202016,40 – 50,1,0,0,0,49,50
USA,202016,5 – 10,0,0,0,0,2,2
USA,202016,50 – 60,0,0,0,0,69,69
USA,202016,60 – 70,0,0,0,0,63,63
USA,202016,70 – 80,1,0,0,0,55,56
USA,202016,>= 80,0,0,0,0,64,64
USA,202017,,0,0,0,0,21,21
USA,202017,1 – 5,0,0,0,0,3,3
USA,202017,10 – 20,2,0,0,0,6,8
USA,202017,20 – 30,2,0,0,0,59,61
USA,202017,30 – 40,1,0,0,0,52,53
USA,202017,40 – 50,0,0,0,0,45,45
USA,202017,5 – 10,0,0,0,0,1,1
USA,202017,50 – 60,0,0,0,0,45,45
USA,202017,60 – 70,0,0,0,0,49,49
USA,202017,70 – 80,1,0,0,0,37,38
USA,202017,< 1,0,0,0,0,1,1
USA,202017,>= 80,0,0,0,0,53,53
USA,202018,,0,0,0,0,24,24
USA,202018,1 – 5,0,0,0,0,1,1
USA,202018,10 – 20,0,0,0,0,12,12
USA,202018,20 – 30,0,0,0,0,37,37
USA,202018,30 – 40,0,0,0,0,42,42
USA,202018,40 – 50,0,0,0,0,52,52
USA,202018,5 – 10,0,0,0,0,1,1
USA,202018,50 – 60,0,0,0,0,52,52
USA,202018,60 – 70,0,0,0,0,58,58
USA,202018,70 – 80,0,0,0,0,37,37
USA,202018,< 1,0,0,0,0,2,2
USA,202018,>= 80,0,0,0,0,36,36
USA,202019,,0,0,0,0,22,22
USA,202019,1 – 5,0,0,0,0,5,5
USA,202019,10 – 20,0,0,0,0,14,14
USA,202019,20 – 30,0,0,0,0,30,30
USA,202019,30 – 40,0,0,0,0,49,49
USA,202019,40 – 50,0,0,0,0,59,59
USA,202019,5 – 10,0,0,0,0,4,4
USA,202019,50 – 60,0,0,0,0,63,63
USA,202019,60 – 70,0,0,0,0,56,56
USA,202019,70 – 80,0,0,0,0,40,40
USA,202019,< 1,0,0,0,0,2,2
USA,202019,>= 80,0,0,0,0,54,54
USA,202020,,0,0,0,0,16,16
USA,202020,10 – 20,0,0,0,0,6,6
USA,202020,20 – 30,0,0,0,0,21,21
USA,202020,30 – 40,0,0,0,0,31,31
USA,202020,40 – 50,0,0,0,0,34,34
USA,202020,5 – 10,0,0,0,0,2,2
USA,202020,50 – 60,0,0,0,0,31,31
USA,202020,60 – 70,0,0,0,0,35,35
USA,202020,70 – 80,0,0,0,0,30,30
USA,202020,>= 80,0,0,0,0,38,38
USA,202021,,0,0,0,0,11,11
USA,202021,1 – 5,0,0,0,0,1,1
USA,202021,10 – 20,0,0,0,0,9,9
USA,202021,20 – 30,0,0,0,0,30,30
USA,202021,30 – 40,0,0,0,0,36,36
USA,202021,40 – 50,0,0,0,0,36,36
USA,202021,5 – 10,0,0,0,0,1,1
USA,202021,50 – 60,1,0,0,0,47,48
USA,202021,60 – 70,0,0,0,0,36,36
USA,202021,70 – 80,0,0,0,0,16,16
USA,202021,< 1,0,0,0,0,1,1
USA,202021,>= 80,0,0,0,0,21,21
USA,202022,,0,0,0,0,15,15
USA,202022,10 – 20,0,0,0,0,14,14
USA,202022,20 – 30,0,0,0,0,27,27
USA,202022,30 – 40,0,0,0,0,23,23
USA,202022,40 – 50,0,0,0,0,28,28
USA,202022,50 – 60,0,0,0,0,27,27
USA,202022,60 – 70,0,0,0,0,21,21
USA,202022,70 – 80,0,0,0,0,17,17
USA,202022,>= 80,0,0,0,0,15,15
USA,202023,,0,0,0,0,15,15
USA,202023,10 – 20,0,0,0,0,13,13
USA,202023,20 – 30,0,0,0,0,47,47
USA,202023,30 – 40,0,0,0,0,39,39
USA,202023,40 – 50,0,0,0,0,39,39
USA,202023,5 – 10,0,0,0,0,7,7
USA,202023,50 – 60,0,0,0,0,33,33
USA,202023,60 – 70,0,0,0,0,34,34
USA,202023,70 – 80,0,0,0,0,21,21
USA,202023,< 1,0,0,0,0,1,1
USA,202023,>= 80,0,0,0,0,20,20
USA,202024,,0,0,0,0,16,16
USA,202024,1 – 5,0,0,0,0,1,1
USA,202024,10 – 20,0,0,0,0,18,18
USA,202024,20 – 30,0,0,0,0,39,39
USA,202024,30 – 40,0,0,0,0,43,43
USA,202024,40 – 50,0,0,0,0,30,30
USA,202024,5 – 10,0,0,0,0,1,1
USA,202024,50 – 60,0,0,0,0,30,30
USA,202024,60 – 70,0,0,0,0,21,21
USA,202024,70 – 80,0,0,0,0,17,17
USA,202024,>= 80,0,0,0,0,20,20
USA,202025,,0,0,0,0,7,7
USA,202025,1 – 5,0,0,0,0,9,9
USA,202025,10 – 20,0,0,0,0,28,28
USA,202025,20 – 30,0,0,0,0,70,70
USA,202025,30 – 40,0,0,0,0,63,63
USA,202025,40 – 50,0,0,0,0,42,42
USA,202025,5 – 10,0,0,0,0,5,5
USA,202025,50 – 60,0,0,0,0,34,34
USA,202025,60 – 70,0,0,0,0,19,19
USA,202025,70 – 80,0,0,0,0,22,22
USA,202025,< 1,0,0,0,0,2,2
USA,202025,>= 80,0,0,0,0,25,25
USA,202026,,0,0,0,0,16,16
USA,202026,1 – 5,0,0,0,0,2,2
USA,202026,10 – 20,0,0,0,0,36,36
USA,202026,20 – 30,0,0,0,0,99,99
USA,202026,30 – 40,0,0,0,0,67,67
USA,202026,40 – 50,0,0,0,0,41,41
USA,202026,5 – 10,0,0,0,0,2,2
USA,202026,50 – 60,0,0,0,0,36,36
USA,202026,60 – 70,0,0,0,0,37,37
USA,202026,70 – 80,0,0,0,0,25,25
USA,202026,< 1,0,0,0,0,1,1
USA,202026,>= 80,0,0,0,0,19,19
USA,202027,,0,0,0,0,12,12
USA,202027,1 – 5,0,0,0,0,5,5
USA,202027,10 – 20,0,0,0,0,45,45
USA,202027,20 – 30,0,0,0,0,83,83
USA,202027,30 – 40,0,0,0,0,55,55
USA,202027,40 – 50,0,0,0,0,70,70
USA,202027,5 – 10,0,0,0,0,2,2
USA,202027,50 – 60,0,0,0,0,45,45
USA,202027,60 – 70,0,0,0,0,50,50
USA,202027,70 – 80,0,0,0,0,32,32
USA,202027,>= 80,0,0,0,0,39,39
USA,202028,,0,0,0,0,14,14
USA,202028,1 – 5,0,0,0,0,3,3
USA,202028,10 – 20,0,0,0,0,86,86
USA,202028,20 – 30,0,0,0,0,125,125
USA,202028,30 – 40,0,0,0,0,100,100
USA,202028,40 – 50,0,0,0,0,64,64
USA,202028,5 – 10,0,0,0,0,3,3
USA,202028,50 – 60,0,0,0,0,61,61
USA,202028,60 – 70,0,0,0,0,52,52
USA,202028,70 – 80,0,0,0,0,30,30
USA,202028,< 1,0,0,0,0,1,1
USA,202028,>= 80,0,0,0,0,36,36
USA,202029,,0,0,0,0,16,16
USA,202029,1 – 5,0,0,0,0,4,4
USA,202029,10 – 20,0,0,0,0,84,84
USA,202029,20 – 30,0,0,0,0,129,129
USA,202029,30 – 40,0,0,0,0,111,111
